Unnamed: 0,Price,Size,Bed,Bath,Location
6771,11500000,1750.0,3,4,Uttara
6773,6300000,950.0,3,2,Uttara
6810,12500000,1587.0,3,3,Uttara
6830,22000000,2500.0,4,4,Uttara
6831,15000000,1500.0,3,3,Uttara
6833,10000000,1650.0,3,3,Uttara
6834,10000000,1650.0,3,3,Uttara
6835,10000000,1650.0,3,3,Uttara
6840,19000000,2555.0,4,4,Uttara
6841,19000000,2555.0,4,4,Uttara
6842,19000000,2555.0,4,4,Uttara
6843,19500000,2555.0,4,4,Uttara
6847,9000000,1500.0,3,3,Uttara
6851,10000000,1542.0,3,3,Uttara
6852,12000000,1700.0,3,3,Uttara
6853,12000000,1700.0,3,3,Uttara
6854,10500000,1531.0,3,3,Uttara
6858,10000000,1575.0,3,4,Uttara
6865,12000000,1700.0,3,3,Uttara
6878,24500000,2990.0,4,5,Uttara
6916,12800000,1938.0,3,3,Uttara
6921,16500000,2120.0,4,3,Uttara
6922,16500000,2120.0,4,3,Uttara
6923,16500000,2120.0,3,3,Uttara
6930,10000000,1500.0,3,4,Uttara
6931,9000000,1050.0,3,3,Uttara
6936,8000000,1250.0,3,3,Uttara
6937,8000000,1250.0,3,3,Uttara
6941,22000000,2000.0,3,4,Uttara
6945,8500000,1654.0,3,4,Uttara
6954,12000000,1450.0,3,3,Uttara
6955,12000000,1450.0,3,3,Uttara
6964,4200000,800.0,1,1,Uttara
6981,5000000,950.0,3,2,Uttara
6996,22000000,2500.0,4,4,Uttara
6998,20000000,2000.0,3,3,Uttara
7024,13600000,1600.0,3,3,Uttara
7025,11000000,1393.0,3,4,Uttara
7027,7500000,1200.0,3,2,Uttara
7033,8200000,1654.0,3,4,Uttara
7038,10000000,1300.0,3,3,Uttara
7047,9000000,1654.0,3,3,Uttara
7080,9200000,1700.0,4,3,Uttara
7081,9200000,1700.0,4,3,Uttara
7084,9200000,1700.0,4,3,Uttara
7092,12500000,1550.0,3,3,Uttara
7093,12500000,1550.0,3,3,Uttara
7094,12500000,1550.0,3,3,Uttara
7107,7000000,950.0,2,2,Uttara
7112,10000000,1520.0,3,3,Uttara
7116,7000000,950.0,2,2,Uttara
7117,13000000,1900.0,3,3,Uttara
7118,7000000,950.0,2,2,Uttara
7119,13000000,1900.0,3,3,Uttara
7120,20000000,2000.0,3,3,Uttara
7124,11000000,1606.0,3,3,Uttara
7131,8000000,1100.0,3,3,Uttara
7132,7200000,1560.0,3,4,Uttara
7165,15500000,1500.0,3,4,Uttara
7169,9500000,1331.0,3,3,Uttara
7174,10000000,1800.0,3,3,Uttara
7203,7000000,1500.0,2,3,Uttara
7204,13600000,1700.0,3,3,Uttara
7216,8000000,1600.0,3,3,Uttara
7224,4800000,950.0,2,2,Uttara
7226,12000000,1548.0,3,4,Uttara
7227,13400000,1720.0,3,3,Uttara
7230,13400000,1720.0,3,3,Uttara
7231,13400000,1720.0,3,3,Uttara
7232,13400000,1720.0,3,3,Uttara
7235,15000000,2200.0,4,4,Uttara
7246,6000000,990.0,2,2,Uttara
7247,12000000,1420.0,3,3,Uttara
7277,11000000,1530.0,3,4,Uttara
7278,9900000,1600.0,3,3,Uttara
7312,7500000,1565.0,3,4,Uttara
7320,8500000,1500.0,3,3,Uttara
7324,7200000,1550.0,3,3,Uttara
7337,10000000,1500.0,3,3,Uttara
7352,16500000,2120.0,4,3,Uttara
7380,11000000,1400.0,3,3,Uttara
7383,20500000,2350.0,4,5,Uttara
7384,20500000,2350.0,4,5,Uttara
7401,12700000,1707.0,3,4,Uttara
7411,14700000,2050.0,3,3,Uttara
7412,9200000,1425.0,3,3,Uttara
7413,9500000,1510.0,3,3,Uttara
7419,17800000,1800.0,3,3,Uttara
7420,17800000,1800.0,3,3,Uttara
